([3, None], [1, 0])
([3, None], [2, 0])
([3, None], [3, 0])
([3, None], [4, 0])
([3, 2], [4, 1])
([3, 2], [4, 2])
([3, 2], [4, 3])
([3, 2], [4, 4])
([3, 2], [5, 4])
([3, 2], [6, 4])
([3, 2], [5, 3])
([3, 2], [4, 2])
([3, 2], [3, 1])
([3, None], [2, 0])
([3, 1], [2, 1])
([3, 1], [2, 2])
([3, 1], [2, 3])
([3, 1], [2, 4])
([3, 1], [2, 5])
([3, 1], [1, 4])
([None, 1], [0, 3])
([2, 1], [1, 3])
([None, 1], [0, 2])
([None, 1], [0, 3])
([3, None], [1, 0])
([3, None], [2, 0])
([3, None], [3, 0])
([3, None], [4, 0])
([3, 2], [4, 1])
([3, 2], [4, 2])
([3, 2], [4, 3])
([3, 2], [4, 4])
([3, 2], [5, 4])
([3, 2], [6, 4])
([3, 2], [5, 3])
([3, 2], [4, 2])
([3, 2], [3, 1])
([3, None], [2, 0])
([3, 1], [2, 1])
([3, 1], [2, 2])
([3, 1], [2, 3])
([3, 1], [2, 4])
([3, 1], [2, 5])
([3, 1], [1, 4])
([None, 1], [0, 3])
([2, 1], [1, 3])
([None, 1], [0, 2])
([None, 1], [0, 3])
